ID,current.year,ejd,area,kom.t+1,flyt,income,wealth,price,vurdering
1,1995,6045,5,5,0,219919,915421,0,1909004
1,1996,1454,5,3,1,"218247,635218747","902859,556130099",820476,0
1,1997,1454,3,3,0,"223932,151542022","884500,21047064",0,0
1,1998,1454,3,3,0,"225627,45354444","914693,907607965",0,0
1,1999,1454,3,3,0,"234252,748953457","889419,301486893",0,0
1,2000,1454,3,3,0,"242710,957778801","876664,356120327",0,0
1,2001,1454,3,3,0,"237503,529437538","860340,624270989",0,0
1,2002,1454,3,3,0,"241404,106355198","891288,177202087",0,0
1,2003,1454,3,3,0,"235409,81086163","903842,748324068",0,0
1,2004,1454,3,3,0,"236878,718196782","880696,144469243",0,0
2,1995,7002,6,6,0,"657207,391923294","875222,296970981",0,1798185
2,1996,7002,6,6,0,"685950,616162899","833844,44071197",0,0
2,1997,7002,6,6,0,"679281,907453691","821824,230214972",0,0
2,1998,7002,6,6,0,"706016,954075904","828994,442963172",0,0
2,1999,7002,6,6,0,"732657,810388487","849264,185035263",0,0
2,2000,7002,6,6,0,"707744,916244872","839308,421675511",0,0
2,2001,7002,6,6,0,"695822,607115989","803558,17354214",0,0
2,2002,7002,6,6,0,"702176,293778147","769470,268343354",0,0
2,2003,7002,6,6,0,"724429,373962406","753976,040606404",0,0
2,2004,7002,6,6,0,"529586,550081149","963128,055911511",0,0
3,1995,2146,2,2,0,"542015,708257675","928437,545541091",0,1851719
3,1996,2146,2,2,0,"554294,656010633","926104,624382332",0,0
3,1997,2146,2,2,0,"579514,504666855","967891,871797987",0,0
3,1998,2146,2,2,0,"557057,586583319","961832,658350722",0,0
3,1999,2146,2,2,0,"570286,503153769","1001036,95381339",0,0
3,2000,2146,2,2,0,"544383,156521374","1026136,32442747",0,0
3,2001,1476,2,2,0,"564765,827632916","992037,761171163",0,0
3,2002,1476,2,2,0,"548942,391155926","985011,180126833",0,0
3,2003,1476,2,2,0,"521746,028193454","986413,577688171",0,0
3,2004,1476,2,2,0,"501041,772309691","519765,173783526",0,0
4,1995,1476,1,1,0,"516734,099744846","520947,83526319",0,1821331
4,1996,1476,1,1,0,"530436,081689872","530038,122516101",0,0
4,1997,1476,1,1,0,"512046,68440145","548340,33914193",0,0
4,1998,1476,1,1,0,"513876,289884981","566583,117334842",0,0
4,1999,1476,1,1,0,"536973,853058866","565484,537719819",0,0
4,2000,1476,1,1,0,"512602,938898193","571683,670064111",0,0
4,2001,9464,1,1,0,"496341,675686277","564119,61524979",0,0
4,2002,9464,1,1,0,"490743,089829331","586670,667463005",0,0
4,2003,9464,1,1,0,"436311,725294218","938831,085106358",0,0
4,2004,9464,1,1,0,"423375,282625582","927211,43892447",0,0
5,1995,9464,3,3,0,"419589,350135193","949917,291672716",0,1112835
5,1996,9464,3,3,0,"405785,024849327","940831,448225487",0,0
